jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0707,0.1318,0.1411,0.247,0.25,0.4109,0.3382,0.3181,0.0799,0.2384,0.0252,0.0249,0.0572,0.0714,0.0847,0.0,0.0439,0.0133,0.0126,0.0463,0.0812,0.0151,0.0,0.0,0.0,0.0165,0.0152,0
0.0707,0.1319,0.1411,0.2468,0.2498,0.4111,0.3387,0.3186,0.0798,0.2388,0.0254,0.025,0.0574,0.0721,0.0852,0.0,0.0438,0.0131,0.0125,0.0462,0.0812,0.0153,0.0,0.0,0.0,0.0166,0.0153,0
0.071,0.1321,0.1414,0.2467,0.2498,0.4108,0.3398,0.3203,0.08,0.2391,0.0256,0.0251,0.0576,0.0726,0.0857,0.0,0.0438,0.013,0.0123,0.0464,0.0813,0.0152,0.0,0.0,0.0,0.0166,0.0153,0
0.0711,0.1322,0.1415,0.2467,0.2496,0.4109,0.3402,0.3213,0.08,0.2393,0.0258,0.0251,0.0578,0.073,0.0861,0.0,0.0437,0.0129,0.0122,0.0464,0.0813,0.0149,0.0,0.0,0.0,0.0166,0.0153,0
0.0714,0.1324,0.1416,0.2466,0.2494,0.4114,0.3408,0.3221,0.0803,0.2397,0.0259,0.0252,0.0581,0.0733,0.0864,0.0,0.0436,0.0128,0.0121,0.0465,0.0812,0.0147,0.0,0.0,0.0,0.0165,0.0152,0
0.0716,0.1325,0.1416,0.2465,0.2492,0.4117,0.3414,0.323,0.0804,0.24,0.0259,0.0252,0.0583,0.0735,0.0867,0.0,0.0435,0.0126,0.0119,0.0466,0.081,0.0145,0.0,0.0,0.0,0.0165,0.0152,0
0.0721,0.1328,0.1419,0.2466,0.2492,0.4115,0.3503,0.3326,0.0808,0.2404,0.0259,0.0251,0.0586,0.0735,0.0869,0.0,0.0434,0.0125,0.0117,0.0467,0.0811,0.0144,0.0,0.0,0.0,0.0164,0.0151,0
0.0725,0.1329,0.1419,0.2466,0.249,0.4119,0.3529,0.3351,0.0812,0.2408,0.0259,0.025,0.0589,0.0736,0.087,0.0,0.0432,0.0123,0.0116,0.0468,0.0812,0.0143,0.0,0.0,0.0,0.0163,0.015,0
0.073,0.1332,0.1422,0.2466,0.2488,0.4119,0.3544,0.3368,0.0816,0.2413,0.0259,0.0249,0.0593,0.0735,0.0871,0.0,0.043,0.0122,0.0115,0.047,0.0817,0.014,0.0,0.0,0.0,0.0163,0.015,0
0.0737,0.1334,0.1424,0.2472,0.249,0.4118,0.3602,0.3421,0.0821,0.2418,0.0258,0.0248,0.0598,0.0733,0.0869,0.0,0.0427,0.0121,0.0114,0.0474,0.0828,0.0138,0.0,0.0,0.0,0.0161,0.0148,0
0.0743,0.1333,0.1422,0.2491,0.2495,0.412,0.3622,0.345,0.0827,0.2422,0.0257,0.0246,0.0604,0.073,0.0866,0.0,0.0422,0.012,0.0112,0.0477,0.0836,0.0134,0.0,0.0,0.0,0.016,0.0147,0
0.0755,0.1334,0.1424,0.2507,0.2501,0.4141,0.3632,0.3463,0.0833,0.2424,0.0255,0.0244,0.0609,0.0726,0.0861,0.0,0.0418,0.0118,0.0111,0.048,0.0842,0.013,0.0,0.0,0.0,0.0158,0.0145,0
0.076,0.1332,0.142,0.2515,0.2506,0.4158,0.3636,0.347,0.0836,0.2424,0.0253,0.0242,0.0611,0.0721,0.0846,0.0,0.0416,0.0116,0.011,0.0479,0.0846,0.0128,0.0,0.0,0.0,0.0156,0.0143,0
